genetic_id	chromosome	alpha_leave_out	delta_from_full
I4105.AG	3	0.03133720818922016	-0.002632797752952769
I4105.AG	4	0.03215210558659613	-0.0018179003555767945
I4105.AG	5	0.03514637669270068	0.001176370750527754
I4105.AG	6	0.03528069123792724	0.0013106852957543158
I4105.AG	7	0.03601600484334756	0.002045998901174635
I4105.AG	8	0.03494946249419737	0.0009794565520244436
I4105.AG	9	0.032800139442130456	-0.0011698665000424713
I4105.AG	10	0.031857664110420535	-0.002112341831752393
I4105.AG	11	0.03383641539937558	-0.00013359054279734467
I4105.AG	12	0.033239125619636885	-0.0007308803225360427
I4105.AG	13	0.033957394744607176	-1.2611197565751131e-05
I4105.AG	14	0.033382529983159576	-0.0005874759590133519
I4105.AG	15	0.03463000360551158	0.0006599976633386503
I4105.AG	16	0.03395843792806787	-1.1568014105060864e-05
I4105.AG	17	0.03531313892953829	0.00134313298736536
I4105.AG	18	0.03464439068175361	0.0006743847395806815
I4105.AG	19	0.03525415871102896	0.0012841527688560311
I4105.AG	20	0.03323911703980755	-0.0007308889023653758
I4105.AG	21	0.03404478447776853	7.477853559560016e-05
I4105.AG	22	0.03243663545162114	-0.0015333704905517859
I18733.AG	1	0.08700240756313622	0.00859452780994048
I18733.AG	2	0.07321547905386079	-0.005192400699334951
I18733.AG	3	0.08021043115032833	0.0018025513971325902
I18733.AG	4	0.08184872463322483	0.0034408448800290897
I18733.AG	5	0.08261965063067078	0.004211770877475041
I18733.AG	6	0.07458449409429747	-0.003823385658898268
I18733.AG	7	0.07372430768907332	-0.0046835720641224265
I18733.AG	8	0.08426443988090312	0.005856560127707383
I18733.AG	9	0.06942316211916891	-0.008984717634026834
I18733.AG	10	0.08611792900362232	0.007710049250426579
I18733.AG	11	0.07966161592945172	0.0012537361762559734
I18733.AG	12	0.0765334066186916	-0.0018744731345041454
I18733.AG	13	0.07916714959050138	0.0007592698373056345
I18733.AG	14	0.07157593637486727	-0.006831943378328473
I18733.AG	15	0.08605287621119784	0.007644996458002096
I18733.AG	16	0.07455568679610491	-0.0038521929570908275
I18733.AG	17	0.07265349193424175	-0.005754387818953988
I18733.AG	18	0.077060150412683	-0.001347729340512735
I18733.AG	19	0.0767722141859397	-0.0016356655672560422
I18733.AG	20	0.07897952186821389	0.000571642115018145
I18733.AG	21	0.07994029764943235	0.001532417896236607
I18733.AG	22	0.07927776679798658	0.0008698870447908374
