genetic_id,group_id,locality,country,region,lat,lon,date_bp,full_date,alpha_Nea,alpha_SE,alpha_lcb,alpha_ucb,alpha_nSNP,D_Nea_Z,D_Den_Z,coverage,snps_hit,assessment,data_type,high_conf
MJ-33.SG,Ukraine_EIA1_ForestSteppe_Scythian-1,"Medvyn-1 (Kyiv Oblast, Bila Tserkva District, Medvyn Municipality)",Ukraine,Europe,49.36677,30.77615,2553.0,"758-416 calBCE (2460±30 BP, Poz-)",0.051189,0.013294,0.025132759999999997,0.07724523999999999,41491,4.722,1.651,0.08667879,93039.0,Pass,SG,False
PCA0225.SG,Poland_IA,"Oblaczkowo (Greater Poland Province, Września County, Września)",Poland,Europe,52.3,17.55,850.0,1000-1200 CE,0.051106,0.011397,0.02876788,0.07344412,43535,2.511,-0.102,0.113,99029.0,Pass,SG,False
NEO120.SG,France_BA,Grotte Mandrin (Rhone-Alpes),France,Europe,44.466,4.766,3314.0,"1516-1301 calBCE (3162±45 BP, UBA-39662)",0.051038,0.013744,0.02409976,0.07797624,43575,3.272,0.342,0.1114,97176.0,Pass,SG,False
I10486.AG,Romania_EBA_Yamnaya,"Glăvănești (Bacău County, Glăvănești)",Romania,Europe,46.2442,27.3975,4703.0,"2876-2631 calBCE (4155±25 BP, PSUAMS-14542)",0.051003,0.019417,0.012945680000000001,0.08906032,17416,3.499,-0.713,0.03740878,39774.0,Pass,AG,False
SAL007.SG,Italy_Apulia_IA_b_IA_c_Daunian,"Salapia (Apulia, Foggia, Cerignola)",Italy,Europe,41.381389,16.02556,2350.0,500-300 BCE,0.050932,0.017722,0.016196879999999997,0.08566712,24385,2.271,-1.284,0.05293233,53023.0,Pass,SG,False
VEN009.AG,Italy_Basilicata_LateAntiquity_Roman,"Venosa (Basilicata, Potenza)",Italy,Europe,40.968228,15.827097,1250.0,600-800 CE,0.050868,0.012538,0.026293519999999997,0.07544247999999999,43873,2.683,1.299,0.10088047,100340.0,Pass,AG,False
poz529_alt1.SG,Poland_BA-Dup,"Świniary Stare-1 (Świętokrzyskie Province, Sandomierz County, Łoniów)",Poland,Europe,50.536,21.53,3899.0,"2026-1886 calBCE (3593±25 BP) [R_Combine: (3610±35, Poz-104952), (3575±35, Poz-104950)]",0.050701,0.013429,0.024380160000000005,0.07702184000000001,38783,3.378,0.485,0.0766,84547.0,MERGE_PASS,SG,False
BerryAuBac.AG,France_HautsdeFrance_Mesolithic,"Berry-Au-Bac (Hauts-de-France Region, Aisne Department, Château-Thierry Arrondissement)",France,Europe,49.24,3.54,7237.0,"5368-5216 calBCE (6325±35 BP, SacA-5455)",0.050687,0.021672,0.008209880000000003,0.09316412,19772,1.687,-0.491,0.0402,44532.0,Pass,AG,False
YPN014.SG,Thailand_IA_LogCoffin,Yappa Nhae 2 (Mae Hong Son Province),Thailand,East Asia,19.60001,98.25,1625.0,200-450 CE,0.050662,0.013471,0.024258839999999997,0.07706516,66380,3.439,-0.291,0.1908,153148.0,Pass,SG,False
KIL019.AG,Ireland_EarlyMedieval,Kilteasheen (Roscommon County),Ireland,Europe,54.00684,-8.202308,950.0,700-1300 CE,0.050402,0.019191,0.012787640000000003,0.08801636,17206,2.987,0.86,0.0565086,36577.0,Pass,AG,False
I0518.AG,England_N,"Banbury Lane (England, Northampton)",United Kingdom,Europe,52.217253,-0.940217,5200.0,3400-3100 BCE,0.050387,0.019232,0.01269228,0.08808172,20491,1.161,1.15,0.04278405,46399.0,Pass,AG,False
I7857.AG,Moldova_Eneolithic,Cimișlia (Cimișlia District),Moldova,Europe,46.53,28.78,5685.0,"3903-3647 calBCE (4965±35 BP, Poz-121047)",0.05037,0.020009,0.01115236,0.08958764,19894,2.67,0.266,0.06117036,43218.0,Pass,AG,False
DA188.SG,Russia_SaltovoMayaki,"Unknown, Veydelevsky (Belgorod Oblast, Veydelevsky District)",Russia,Europe,50.114471,38.300882,1107.0,"709-956 calCE (1187±31 BP, UBA-31236)",0.050282,0.019586,0.011893440000000005,0.08867056,24064,2.265,0.69,0.05897158,52788.0,Pass,SG,False
FRM001.AG,France_Mesolithic,"Farman (Île-de-France, Paris)",France,Europe,48.834,2.2712,9964.0,"8207-7807 calBCE (8849±33 BP) [R_Combine: (8805±40 BP, GrA-45017), (8930±55 BP, GrA-45018)]",0.050223,0.013775,0.023223999999999995,0.077222,48961,3.343,0.853,0.1062,111009.0,Pass,AG,False
PN103.SG,Italy_Novilara_IA_Piceni,"Novilara (Marche, Pesaro e Urbino)",Italy,Europe,43.8587,12.9313,2649.0,750-650 BCE,0.050064,0.015728,0.01923712,0.08089088,37934,3.651,0.877,0.0761,84080.0,Pass,SG,False
