label,kind,n_ind,date_bp,date_min,date_max,region,median_coverage,median_snps,median_damage,mean_alpha,note,D_VA,D_VA_se,D_VA_z,D_NEA,D_NEA_se,D_NEA_z,R,R_se,testable,n_snp
WestSiberia_LateGlacial_Meso,grid,37,8342.0,8110.0,12711.0,WestSiberia,1.3884,292809.0,0.331,0.02510997297297297,,0.07534567814230977,0.0074782870561965285,10.075258889651494,0.03631034606182431,0.004198346766659533,8.648724862409374,2.0750470957787464,0.3181745114225623,True,507217
WestSiberia_Medieval_Recent,grid,129,950.0,132.0,1482.0,WestSiberia,2.20471929,347469.0,0.077,0.021490170542635658,,0.07411543933660765,0.006421475876897721,11.541807640086246,0.03374677099461845,0.0037275301437882237,9.05338647652684,2.1962231393464795,0.3044773024256331,True,507219
WestSiberia_Neolithic,grid,191,6617.0,5003.0,7977.0,WestSiberia,2.74019567,368631.0,0.103,0.02280184816753927,,0.07420993734854381,0.006931037549179783,10.70690164668431,0.03395177094019245,0.004129414032138754,8.221934317060418,2.1857457002542784,0.34066666008988505,True,507219
IUP_Eurasia_45ka,named,10,45875.0,43250.0,45875.0,Europe,1.07905,308679.5,0.5302,0.028385099999999996,"Zlaty kun, Ranis, Bacho Kiro IUP, Ust'-Ishim — the basal ~45 kya group",0.0650702740163061,0.006821100028721012,9.539557218384186,0.03904061826620169,0.004379538295728035,8.914322841812657,1.6667326724341056,0.2671215876441359,True,507218
UP_Europe_post_LGM,named,5,17045.0,15411.0,24450.0,Europe,1.6271,277114.0,0.12755,0.026746799999999998,Late Upper Palaeolithic / Magdalenian Europe,0.08068810778278204,0.0074248415114654236,10.867317188950585,0.03744973963765168,0.004663602962268656,8.030216109870958,2.154570594174675,0.3185978585334163,True,500298
UP_Europe_pre_LGM,named,14,30246.0,27203.0,35208.0,Europe,1.00285,284937.5,0.259,0.026753785714285716,"Kostenki, Sunghir, Vestonice, Goyet, Gravettian",0.07254574290584394,0.007130643249678395,10.173800646823256,0.03909513023415607,0.00546955564592145,7.147770818148382,1.8556209551250764,0.30088591542009513,True,507203
UP_NorthEastAsia,named,8,31850.0,16736.0,39565.0,EastAsia,4.3627835699999995,411800.5,,0.02052625,"Tianyuan, Salkhit, Amur, Yana, Mal'ta — Palaeolithic east of 75E",0.07348743320075606,0.007060241119971951,10.40862938701561,0.03256627534060437,0.004834923277448618,6.735634356909494,2.25655014066439,0.4254161086597393,True,507215
UstIshim_44ka,named,1,44366.0,44366.0,44366.0,WestSiberia,40.6597621,505813.0,,0.02339,"single 40x genome, 44 kya",0.05625817430541966,0.012238609718652222,4.5967781961115675,0.032450721231610934,0.00618958703847124,5.242792617651905,1.7336494281248018,0.4910977798301683,True,507183
Oase1_40ka,named-lowpower,1,39982.0,39982.0,39982.0,Europe,0.051,25775.0,,0.097978,admitted below the SNP floor; power-limited by construction,0.07364165685111593,0.04681790199499514,1.572937994081586,0.1179737578690663,0.024244899178318215,4.865920744870251,0.6242206587404586,0.412587595101334,True,25838
NULLcov_EastAsia_Bronze_HI,null-coverage,106,4097.5,3001.0,4996.0,EastAsia,2.12169238,363995.5,0.087,0.02228250943396226,,0.07361912994059817,0.007899795215754537,9.319118778393113,0.033407508411843985,0.0036867403644163456,9.061529999314933,2.203670175968524,0.3481885394441114,True,507219
