target,model,sources,outgroups,n_snp,chi2,dof,p,status
Africa_Iron_Age,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,5765.621414007419,5,0.0,rejected
Africa_Iron_Age,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475937,1795.0412224311415,3,1.719389304712991e-167,rejected
Africa_Iron_Age,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,3957.212973058784,6,0.0,rejected
Africa_Historic,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,475937,7667.586428081361,8,0.0,rejected
Africa_Historic,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,475937,6190.093851233743,6,0.0,rejected
Africa_Historic,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,7300.343666338145,5,0.0,rejected
Africa_Historic,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475937,4845.409417028563,3,0.0,rejected
Africa_Historic,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,6873.86735429432,6,0.0,rejected
Oceania_Iron_Age,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,475573,5392.125430045489,8,0.0,rejected
Oceania_Iron_Age,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,475573,4889.334867610749,6,0.0,rejected
Oceania_Iron_Age,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475573,4490.312426696804,5,0.0,rejected
Oceania_Iron_Age,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475573,3552.086276357394,3,7.52058311698239e-276,rejected
Oceania_Iron_Age,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475573,4490.3124266968025,6,0.0,rejected
Oceania_Historic,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,475933,6496.6005471499,8,0.0,rejected
Oceania_Historic,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,475933,5329.356305075444,6,0.0,rejected
Oceania_Historic,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475933,5143.878831713166,5,0.0,rejected
