genetic_id,group_id,country,lat,lon,date_bp,data_type,alpha_Nea,alpha_adj,alpha_SE,alpha_nSNP,high_conf,expected_Nea,residual_Nea,z_resid,sigma_bio_local,se_expected,n_neighbors_eff,D_Nea_Z,D_Den_Z,flags
SZ7.AG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,AG,0.022042,0.023242364756787672,0.006586,331446,True,0.021538774981867532,0.0017035897749201404,0.2578034247734561,0.0,0.000539941184917384,76.48325940731688,3.059,0.343,
SZ8.AG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,AG,0.006602,0.007802364756787673,0.010492,93655,False,0.020755282923580455,-0.012952918166792782,-1.232741573254305,0.0,0.0005688148394485202,77.99376059029326,-0.301,-1.545,
SZ9.AG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,AG,0.023194,0.024394364756787672,0.006225,363487,True,0.021883703499543314,0.0025106612572443586,0.40210365608348086,0.0,0.0004843694152396823,76.92126691438907,3.348,0.833,
SZ11.SG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,SG,0.017986,0.016238859865127617,0.005725,505740,True,0.02037416713624786,-0.004135307271120242,-0.7184160172548106,0.0,0.0005979869238515427,77.70772024942728,2.476,-0.023,
SZ15.SG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,SG,0.027326,0.025578859865127618,0.005356,505753,True,0.020596001444125458,0.00498285842100216,0.9257244941351425,0.0,0.0005350438508792682,77.08268963069641,3.87,0.756,
SZ1.SG,Hungary_BA,Hungary,46.2833333,17.85,3850.0,SG,0.017313,0.015565859865127617,0.006262,505768,True,0.02061323629447047,-0.005047376429342852,-0.8038146363099551,0.0,0.0004655123570734438,76.72411132196694,1.738,-0.566,
SZ2.SG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,SG,0.012644,0.010896859865127619,0.005013,505193,True,0.020848425161520516,-0.009951565296392897,-1.9748197842299302,0.0,0.0005134592172102515,77.59558050526229,2.136,-1.119,
SZ36.SG,Hungary_Lombards-1,Hungary,46.2833333,17.85,1425.0,SG,0.028192,0.026444859865127616,0.004957,504784,True,0.019585109752899624,0.006859750112227992,1.3756852559922217,0.0,0.0005409032155863343,75.85226325858633,5.168,0.067,
SZ3.SG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,SG,0.012817,0.011069859865127618,0.005067,505772,True,0.02059334285219482,-0.0095234829870672,-1.8713610078303398,0.0,0.00047341498323264983,77.16614081048495,1.493,-1.629,
SZ43.SG,Hungary_Lombards-1,Hungary,46.2833333,17.85,1393.0,SG,0.023655,0.021907859865127617,0.004638,505775,True,0.0200170092179915,0.0018908506471361185,0.40557037213692,0.0,0.0004744210929818117,76.17582534194372,3.569,-0.33,
SZ45.SG,Hungary_Lombards-2,Hungary,46.2833333,17.85,1425.0,SG,0.019706,0.01795885986512762,0.004729,505792,True,0.020570157397062343,-0.002611297531934724,-0.5496858407724358,0.0,0.0004517383892678808,77.67127522232643,2.846,-0.874,
SZ4.SG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,SG,0.018167,0.016419859865127617,0.005843,505765,True,0.021465830559155488,-0.00504597069402787,-0.8598223218747214,0.0,0.0005477724890448939,77.78111557721458,2.284,-0.34,
I1902.AG,Hungary_LN_Lengyel,Hungary,47.01938,17.96243,6550.0,AG,0.022827,0.024027364756787673,0.010917,76124,False,0.02083293204390247,0.0031944327128852028,0.2922562027498383,0.0,0.0005379848054940098,76.83653721702773,1.273,-0.213,low_power
I0577.AG,Russia_Tuva_IA_AldyBel,Russia,52.096067,93.711133,2750.0,AG,0.013983,0.015183364756787674,0.006003,346803,True,0.022176061373512253,-0.006992696616724579,-1.1608834946109072,0.0,0.0004977303408417786,76.0697929889707,2.616,-0.18,
I1594.AG,Germany_BlatterhohleCave_MN,Germany,51.358333,7.551111,5140.0,AG,0.021703,0.022903364756787673,0.013905,48069,False,0.019486853352020234,0.003416511404767439,0.24549806434365087,0.0,0.0005693937576240569,76.58279629497999,0.813,-2.061,low_power
I1717.AG,Russia_Adygea_EN_ProtoMaikop,Russia,44.25056667,40.21921667,6450.0,AG,0.014628,0.015828364756787672,0.005714,324412,True,0.01853380142522741,-0.0027054366684397396,-0.47177643781136436,0.0,0.000485322033188309,77.0746357284431,2.355,-1.403,
I1763.AG,Ukraine_Zaporizhia_EN,Ukraine,47.434167,35.276389,10081.0,AG,0.017021,0.018221364756787675,0.005343,361402,True,0.023352886240224,-0.005131521483436326,-0.9570145779165224,0.0,0.00045110907714076474,77.49316710794952,2.961,-0.838,
I1767.AG,England_BellBeaker-ohighEEF,United Kingdom,54.522812,-1.308134,4045.0,AG,0.024283,0.025483364756787672,0.005532,316974,True,0.02032078400332838,0.005162580753459291,0.9269373760429431,0.0,0.0006452462728958947,75.03108138292589,4.532,0.587,
I1770.AG,England_BellBeaker,United Kingdom,54.201949,-0.434355,3950.0,AG,0.008628,0.009828364756787673,0.006504,213613,True,0.021435974765487833,-0.01160761000870016,-1.7772394607097384,0.0,0.0005960865715053394,75.58511366960036,1.358,-2.166,
I1774.AG,England_EBA_C,United Kingdom,51.423287,0.738864,3698.0,AG,0.016458,0.017658364756787674,0.012698,42984,False,0.018986549973973383,-0.0013281852171857095,-0.10447083450644673,0.0,0.0006266779434293842,76.72489317307357,2.236,-0.387,low_power
I1775.AG,Wales_EBA_C,United Kingdom,53.33,-3.84,3563.0,AG,0.012664,0.013864364756787673,0.007508,180251,False,0.021318143514543458,-0.007453778757755785,-0.9897759661856432,0.0,0.0005852244431548167,76.67421543135166,1.047,-0.382,
I1784.AG,Turkmenistan_BA1-1,Turkmenistan,38.21228,62.03443,4060.0,AG,0.01881,0.020010364756787673,0.005565,285586,True,0.01832796727167484,0.001682397485112834,0.30092958874597864,0.0,0.0005351130994368124,76.58141187670813,2.418,-1.5,
Ukraine_HG1.AG,Ukraine_Mesolithic,Ukraine,47.434168,35.276389,10658.0,AG,0.02636,0.027560364756787675,0.006101,354572,True,0.022830280037159496,0.004730084719628179,0.7732609151405079,0.0,0.00044299289764661873,77.25974257741416,3.653,0.549,
I1821.AG,Russia_KrasnoyarskKrai_MLBA,Russia,53.873133,91.460467,3490.0,AG,0.014658,0.015858364756787674,0.007599,184700,False,0.022276391242358144,-0.0064180264855704695,-0.8417757969188325,0.0,0.0006217017998945934,76.81391329432603,1.639,-0.57,
I1828.AG,Russia_KrasnoyarskKrai_MLBA_Andronovo,Russia,54.17931667,91.57886667,3484.0,AG,0.038375,0.039575364756787676,0.009903,57685,False,0.021675387716677395,0.01789997704011028,1.8042909763631014,0.0,0.0005937188579364951,77.07167632476313,3.84,-0.451,low_power
I1829.AG,Russia_Altai_Afanasievo,Russia,50.5542389,86.5901361,4879.0,AG,0.018067,0.019267364756787673,0.00696,131124,False,0.022143118322187075,-0.0028757535653994026,-0.41194029293756435,0.0,0.0005410232033528752,77.15486111025679,2.528,-0.583,
I1836.AG,Spain_MBA,Spain,41.223,1.77416,3527.0,AG,0.023641,0.024841364756787672,0.007416,126149,False,0.02102155880965994,0.003819805947127733,0.513475528446195,0.0,0.0005860432766614208,76.92733189416217,2.076,-0.266,questionable
I1838.AG,Spain_C,Spain,42.63,-2.7,5126.0,AG,0.02453,0.025730364756787673,0.005111,365692,True,0.021536051046626016,0.004194313710161657,0.8158301136537233,0.0,0.000556068558723376,77.00757679098916,3.12,-1.986,
I1840.AG,Spain_MBA,Spain,42.5731538,-2.621938,3475.0,AG,0.01998,0.021180364756787674,0.006153,291470,True,0.021292010770189645,-0.00011164601340197047,-0.01806695245673594,0.0,0.0005724398100926372,75.92387205072656,3.054,-0.179,
I1843.AG,Spain_C,Spain,42.569508,-2.566083,4904.0,AG,0.021588,0.022788364756787673,0.006035,283517,True,0.022733853033667505,5.4511723120168054e-05,0.008994842408501503,0.0,0.0005535232158073004,76.52565775463066,3.462,0.158,
