genetic_id,alpha_Nea,alpha_SE,alpha_nSNP,D_Nea,D_Nea_SE,D_Nea_Z,D_Nea_nSNP,D_Den,D_Den_SE,D_Den_Z,D_Den_nSNP
SZ27.AG,0.019508,0.005465,389500,0.020152,0.005099,3.952,850423,-0.000488,0.006221,-0.078,455210
SZ28.AG,0.030546,0.00629,340025,0.021505,0.005631,3.819,744651,-0.002308,0.007121,-0.324,404055
SZ30.AG,0.020847,0.006869,206050,0.015822,0.005803,2.727,449323,-0.002318,0.008695,-0.267,242614
SZ31.AG,0.016929,0.011939,55919,0.004762,0.010287,0.463,121141,0.000478,0.013514,0.035,64894
SZ32.AG,0.02343,0.00553,347813,0.01991,0.004585,4.343,761296,0.000843,0.005877,0.143,413175
SZ37.AG,0.015935,0.00663,217517,0.014606,0.005455,2.678,477571,-0.002615,0.008366,-0.313,259853
SZ38.AG,0.023275,0.005472,326005,0.01563,0.004901,3.189,713386,-2.7e-05,0.00573,-0.005,385977
SZ40.AG,0.019006,0.006672,325889,0.010997,0.005464,2.013,713229,-0.009431,0.007348,-1.283,384876
SZ41.AG,0.028238,0.00783,94770,0.021834,0.00841,2.596,205743,0.002699,0.011292,0.239,109579
SZ42.AG,0.018143,0.006057,370221,0.01995,0.005003,3.988,809153,-0.002108,0.005352,-0.394,434730
SZ6.AG,0.011454,0.014527,25180,0.009538,0.013305,0.717,53960,-0.004808,0.019162,-0.251,28963
SZ7.AG,0.022042,0.006586,331446,0.016801,0.005493,3.059,725164,0.002344,0.006834,0.343,389495
SZ8.AG,0.006602,0.010492,93655,-0.002495,0.008291,-0.301,201047,-0.016874,0.01092,-1.545,106643
SZ9.AG,0.023194,0.006225,363487,0.020063,0.005993,3.348,794419,0.004541,0.005453,0.833,428272
SZ11.SG,0.017986,0.005725,505740,0.01247,0.005037,2.476,1098222,-0.000131,0.005629,-0.023,560912
SZ15.SG,0.027326,0.005356,505753,0.02035,0.005258,3.87,1098252,0.00449,0.005936,0.756,560956
SZ1.SG,0.017313,0.006262,505768,0.009262,0.00533,1.738,1098246,-0.003245,0.005732,-0.566,560920
SZ2.SG,0.012644,0.005013,505193,0.008844,0.00414,2.136,1096722,-0.006034,0.00539,-1.119,560238
SZ36.SG,0.028192,0.004957,504784,0.019303,0.003735,5.168,1095760,0.000339,0.005079,0.067,560041
SZ3.SG,0.012817,0.005067,505772,0.00659,0.004413,1.493,1098319,-0.009068,0.005566,-1.629,560928
SZ43.SG,0.023655,0.004638,505775,0.012989,0.00364,3.569,1098327,-0.001703,0.005165,-0.33,560959
SZ45.SG,0.019706,0.004729,505792,0.011671,0.004101,2.846,1098352,-0.003592,0.004108,-0.874,560955
SZ4.SG,0.018167,0.005843,505765,0.011716,0.005129,2.284,1098272,-0.002386,0.007024,-0.34,560926
I1902.AG,0.022827,0.010917,76124,0.010721,0.008425,1.273,166028,-0.002812,0.013199,-0.213,88261
I0577.AG,0.013983,0.006003,346803,0.013412,0.005127,2.616,760821,-0.001421,0.0079,-0.18,411997
I1594.AG,0.021703,0.013905,48069,0.008278,0.010182,0.813,105475,-0.025057,0.012155,-2.061,57067
I1717.AG,0.014628,0.005714,324412,0.010864,0.004614,2.355,712018,-0.009408,0.006706,-1.403,386678
I1763.AG,0.017021,0.005343,361402,0.014418,0.004869,2.961,790294,-0.004527,0.005405,-0.838,425638
I1767.AG,0.024283,0.005532,316974,0.020462,0.004515,4.532,695124,0.004163,0.00709,0.587,375880
I1770.AG,0.008628,0.006504,213613,0.009082,0.006688,1.358,471493,-0.014718,0.006794,-2.166,254742
I1774.AG,0.016458,0.012698,42984,0.022231,0.009943,2.236,95353,-0.005207,0.013459,-0.387,50908
I1775.AG,0.012664,0.007508,180251,0.006594,0.006299,1.047,396455,-0.0035,0.009172,-0.382,214313
I1784.AG,0.01881,0.005565,285586,0.012476,0.005159,2.418,630516,-0.007285,0.004856,-1.5,344368
Ukraine_HG1.AG,0.02636,0.006101,354572,0.018908,0.005176,3.653,774192,0.003584,0.006535,0.549,417873
I1821.AG,0.014658,0.007599,184700,0.009964,0.006079,1.639,405367,-0.005107,0.008966,-0.57,219361
I1828.AG,0.038375,0.009903,57685,0.031145,0.008111,3.84,125266,-0.004876,0.010817,-0.451,68388
I1829.AG,0.018067,0.00696,131124,0.014481,0.005729,2.528,288228,-0.005729,0.009828,-0.583,156785
I1836.AG,0.023641,0.007416,126149,0.014193,0.006836,2.076,279903,-0.002467,0.009287,-0.266,150877
I1838.AG,0.02453,0.005111,365692,0.0145,0.004647,3.12,801553,-0.011618,0.00585,-1.986,433746
I1840.AG,0.01998,0.006153,291470,0.018097,0.005927,3.054,636075,-0.001161,0.006498,-0.179,339945
I1843.AG,0.021588,0.006035,283517,0.017649,0.005098,3.462,624189,0.001065,0.006737,0.158,338717
I1851.AG,0.033145,0.007005,176352,0.01926,0.005796,3.323,391073,-0.009595,0.008866,-1.082,217336
I1852.AG,0.023659,0.007729,146108,0.021398,0.005101,4.195,321360,0.009925,0.008247,1.203,176627
I1853.AG,0.02619,0.012204,53328,0.014381,0.009476,1.518,116277,-0.006264,0.01261,-0.497,64226
I1856.AG,0.027077,0.006596,309709,0.020514,0.005877,3.49,683252,-0.006073,0.007302,-0.832,376958
I1887.AG,0.01871,0.00704,168896,0.008166,0.005004,1.632,367706,-0.008875,0.008179,-1.085,192122
